program	discovery_case	target_case	status	default_hpwl	candidate_hpwl	delta_hpwl_percent	default_runtime_s	candidate_runtime_s	runtime_ratio	score	results_tsv
P_aes_nangate45	aes_nangate45	ibex_asap7	PASS	63342.0	63138.0	-0.322	6.905	16.815	2.435	-1.078	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	ibex_nangate45	PASS	200130.4	198887.1	-0.621	5.051	14.171	2.806	-1.092	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	jpeg_asap7	PASS	134573.0	133913.8	-0.490	22.995	53.244	2.315	-0.804	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	jpeg_nangate45	PASS	467235.7	481513.8	+3.056	33.489	76.821	2.294	-4.331	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	swerv_wrapper_asap7	PASS	913899.8	904162.0	-1.066	57.366	118.145	2.059	0.008	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_aes_nangate45	aes_nangate45	swerv_wrapper_nangate45	PASS	3267840.1	3234110.7	-1.032	33.953	84.860	2.499	-0.424	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_aes_nangate45/results.tsv
P_ariane133_nangate45	ariane133_nangate45	aes_asap7	PASS	42207.8	41362.8	-2.002	5.330	9.044	1.697	1.307	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_ariane133_nangate45/results.tsv
P_ariane133_nangate45	ariane133_nangate45	aes_nangate45	PASS	176845.1	174705.7	-1.210	6.030	8.136	1.349	0.901	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_ariane133_nangate45/results.tsv
P_ariane133_nangate45	ariane133_nangate45	ariane133_nangate45	PASS	5784913.3	5466760.0	-5.500	151.252	105.088	0.695	5.500	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_ariane133_nangate45/results.tsv
P_ariane133_nangate45	ariane133_nangate45	ibex_asap7	PASS	63342.0	62877.0	-0.734	6.905	9.130	1.322	0.458	<ORIGINAL_WORKSPACE>/dpl_evolve_agent/.dpl_evolve_state/best_evolved_transfer/ghr_best_9case_20260525_111552/matrices/P_ariane133_nangate45/results.tsv
